text,label
"Please verify your account immediately by clicking this link",1
"Your account has been suspended. Verify now",1
"This article explains what phishing is and how to avoid it",0
"This tutorial shows example phishing emails and how to spot them",0
"Enter your password to continue",1
"Official documentation about security best practices",0
"Urgent action required: confirm payment details",1
"Blog post describing phishing case studies and prevention",0
"Reset your password immediately via this fake link",1
"Education: how to spot phishing messages and examples",0
"Confirm your bank details to avoid closure",1
"Research paper on phishing detection methods",0
"Sign-in from new device. If this wasn't you click verify",1
"How to secure your account: tutorial and examples",0
"Verify payment to avoid charge",1
"FAQ: What is phishing? Examples and prevention",0
"Important security notice: change password",1
"Course material about cyber security and phishing attacks",0
"Please verify your credit card details now",1
"Educational page listing phishing indicators and mitigation",0
